time, a, b, c
0.0,0.0,0.0,0.0
0.00025,2.97581363319e-05,-0.000411651012903,0.000381892876571
0.0005,0.000148044186054,-0.00125244168865,0.00110439750259
0.00075,0.000292896935877,-0.00229097029771,0.00199807336185
0.001,0.000386044158618,-0.00333434269264,0.00294829853405
0.00125,0.000355136249891,-0.00425104454809,0.00389590829825
0.0015,0.000157057312344,-0.00499358602936,0.00483652871708
0.00175,-0.00026317609817,-0.00551080062829,0.00577397672654
0.002,-0.000873004313817,-0.00592757243774,0.00680057675164
0.00225,-0.00161524983671,-0.00638047470924,0.00799572454604
0.0025,-0.00242694376758,-0.00698619542971,0.00941313919739
0.00275,-0.00323993435305,-0.00784392902726,0.0110838633804
0.003,-0.00395658868768,-0.00908143666973,0.0130380253575
0.00325,-0.00453672091631,-0.0106895808887,0.0152263018051
0.0035,-0.00495290404923,-0.0126413036169,0.0175942076662
0.00375,-0.00517210839976,-0.0149253223622,0.0200974307621
0.004,-0.00518945670749,-0.0174820052388,0.0226714619464
0.00425,-0.00501893120546,-0.020232109524,0.0252510407296
0.0045,-0.00464510554581,-0.0231715314157,0.0278166369616
0.00475,-0.00405013099534,-0.0262982335226,0.030348364518
0.005,-0.00322898511635,-0.0295876874024,0.0328166725188
0.00525,-0.00214674374917,-0.0330753833195,0.0352221270687
0.0055,-0.000763384471814,-0.0367946895121,0.0375580739839
0.00575,0.000947253423567,-0.0407421933209,0.0397949398974
0.006,0.00300801743074,-0.0449092119773,0.0419011945465
0.00625,0.00545435024271,-0.0493078844467,0.0438535342041
0.0065,0.00829195981731,-0.0538895130809,0.0455975532636
0.00675,0.0115209318626,-0.0586052888954,0.0470843570328
0.007,0.015144662383,-0.0634208824101,0.0482762200271
0.00725,0.0191598966733,-0.0682935162666,0.0491336195932
0.0075,0.0235448323707,-0.0731542263186,0.0496093939478
0.00775,0.0282948516175,-0.077978886457,0.0496840348394
0.008,0.0334011473824,-0.0827362363582,0.0493350889756
0.00825,0.0388438632001,-0.087378714015,0.0485348508148
0.0085,0.0446073744791,-0.0918742301715,0.0472668556922
0.00875,0.0506819290247,-0.0962043343117,0.0455224052868
0.009,0.0570400345648,-0.100317536917,0.0432775023522
0.00925,0.0636525578615,-0.104168703931,0.0405161460689
0.0095,0.0704948387943,-0.107726894162,0.0372320553677
0.00975,0.0775289098957,-0.110939756746,0.0334108468505
0.01,0.0847096197969,-0.113750951325,0.0290413315277
0.01025,0.0919973677557,-0.116124542932,0.0241271751757
0.0105,0.0993479994808,-0.118020269054,0.0186722695727
0.01075,0.10670706029,-0.119386068472,0.0126790081814
0.011,0.114027752783,-0.120193672702,0.00616591991869
0.01125,0.121262300641,-0.120416494135,-0.000845806506056
0.0115,0.128355741203,-0.120018713724,-0.00833702747896
0.01175,0.135254092755,-0.118973598169,-0.0162804945866
0.012,0.141909320622,-0.117269582794,-0.0246397378277
0.01225,0.148264332263,-0.114879896264,-0.0333844359997
0.0125,0.154262693938,-0.111785312873,-0.0424773810657
0.01275,0.159852952317,-0.107979989622,-0.0518729626957
0.013,0.164981283041,-0.103455081505,-0.061526201536
0.01325,0.169590420401,-0.0981987675509,-0.0713916528508
0.0135,0.173631372662,-0.092218841287,-0.0814125313755
0.01375,0.177055763088,-0.0855237374586,-0.0915320256299
0.014,0.179813421205,-0.078119336943,-0.101694084262
0.01425,0.181860717075,-0.0700253937373,-0.111835323338
0.0145,0.183159470812,-0.0612702299761,-0.121889240836
0.01475,0.183670186926,-0.0518769993418,-0.131793187585
0.015,0.183358569784,-0.0418780348687,-0.141480534915
0.01525,0.182198214746,-0.0313173324549,-0.150880882291
0.0155,0.180163271934,-0.0202349807184,-0.159928291215
0.01575,0.177232031231,-0.00867557107308,-0.168556460158
0.016,0.173391339851,0.00330452543609,-0.176695865287
0.01625,0.168632113914,0.0156481609283,-0.184280274842
0.0165,0.162947837325,0.0282993116723,-0.191247148998
0.01675,0.156341506586,0.0411898704837,-0.197531377069
0.017,0.148821852358,0.0542494742974,-0.203071326655
0.01725,0.140401023916,0.0674097014023,-0.207810725318
0.0175,0.131098748002,0.0805955436851,-0.211694291687
0.01775,0.120943036073,0.0937259241324,-0.214668960205
0.018,0.109964883672,0.106724584216,-0.216689467888
0.01825,0.0982019815483,0.119511684157,-0.217713665705
0.0185,0.0857001796915,0.132002332953,-0.217702512644
0.01875,0.0725095836648,0.144114964085,-0.21662454775
0.019,0.0586848543063,0.155769834942,-0.214454689248
0.01925,0.0442886914362,0.166882431527,-0.211171122962
0.0195,0.0293883899294,0.17737135086,-0.206759740789
0.01975,0.0140545399024,0.187159888345,-0.201214428247
0.02,-0.00163587626361,0.19616954187,-0.194533665606
0.02025,-0.0176010546129,0.204323944121,-0.186722889508
0.0205,-0.0337571511185,0.211553742607,-0.177796591487
0.02075,-0.0500161267963,0.217791324541,-0.167775197744
0.021,-0.0662855758434,0.222970884752,-0.156685308908
0.02125,-0.082472230241,0.227035009379,-0.144562779138
0.0215,-0.0984808608063,0.229931107682,-0.131450246875
0.02175,-0.114213402526,0.23160952845,-0.117396125923
0.022,-0.129571649948,0.232028626179,-0.10245697623
0.02225,-0.14445811889,0.231155040867,-0.0866969219768
0.0225,-0.158774173018,0.22895919648,-0.0701850234612
0.02275,-0.172422364612,0.225419639074,-0.0529972744619
0.023,-0.185307895756,0.220524573989,-0.0352166782322
0.02325,-0.197337436569,0.214268209858,-0.0169307732877
0.0235,-0.208419897113,0.206651846444,0.00176805066943
0.02375,-0.218468885291,0.19768757889,0.0207813064016
0.024,-0.227401784741,0.187394894457,0.0400068902851
0.02425,-0.235139842674,0.175800166942,0.0593396757322
0.0245,-0.241610336163,0.162940024345,0.0786703118193
0.02475,-0.246746737653,0.148859936849,0.0978868008044
0.025,-0.250487950799,0.133611786868,0.116876163931
0.02525,-0.252780204436,0.117256704438,0.135523499999
0.0255,-0.253577805446,0.0998650462169,0.153712759229
0.02575,-0.252842215315,0.0815133525899,0.171328862725
0.026,-0.250543107324,0.0622857312822,0.188257376042
0.02625,-0.2466595529,0.0422749114681,0.204384641432
0.0265,-0.241179237603,0.0215794312464,0.219599806357
0.02675,-0.234098596165,0.00030326961955,0.233795326545
0.027,-0.225424230964,-0.0214423232895,0.246866554253
0.02725,-0.215172295908,-0.043541183474,0.258713479382
0.0275,-0.20336812194,-0.0658735269681,0.269241648908
0.02775,-0.190047221546,-0.0883146919501,0.278361913496
0.028,-0.175255229972,-0.110736102966,0.285991332937
0.02825,-0.159046942392,-0.133007811806,0.292054754198
0.0285,-0.141486934204,-0.154997506353,0.296484440557
0.02875,-0.122649625968,-0.176570965085,0.299220591053
0.029,-0.102618274652,-0.19759442756,0.300212702211
0.02925,-0.0814848375893,-0.217934841247,0.299419678836
0.0295,-0.0593501923608,-0.237459457967,0.296809650327
0.02975,-0.0363230843161,-0.25603810156,0.292361185875
0.03,-0.0125194171096,-0.2735441503,0.286063567409
0.03025,0.0119375896416,-0.289853986966,0.277916397324
0.0305,0.0369182810303,-0.304848538563,0.267930257532
0.03075,0.0622876209706,-0.318414839802,0.25612721883
0.031,0.0879054042066,-0.330445738796,0.242540334588
0.03125,0.113626854044,-0.340840572073,0.227213718028
0.0315,0.139304057617,-0.349507190246,0.210203132628
0.03175,0.164786406834,-0.356361748243,0.191575341409
0.032,0.18992122203,-0.361329001922,0.171407779891
0.03225,0.214555064063,-0.364343837159,0.149788773094
0.0325,0.238534663361,-0.365351815717,0.126817152356
0.03275,0.261707411042,-0.364308668102,0.102601257059
0.033,0.283922624674,-0.36118167089,0.0772590462155
0.03325,0.305032696831,-0.35595019671,0.0509174998788
0.0335,0.324893642915,-0.348605311351,0.023711668435
0.03375,0.343366098271,-0.339150276001,-0.00421582227101
0.034,0.360316484144,-0.327601416229,-0.0327150679162
0.03425,0.375617750543,-0.31398759816,-0.0616301523843
0.0345,0.389150054703,-0.298350182816,-0.0907998718878
0.03475,0.400802028713,-0.280743738714,-0.120058290001
0.035,0.410471504965,-0.26123559759,-0.149235907376
0.03525,0.418066035529,-0.239905245413,-0.178160790117
0.0355,0.423503878202,-0.21684462533,-0.206659252872
0.03575,0.426714772146,-0.192157874545,-0.234556897602
0.036,0.4276402631,-0.16596022871,-0.261680034391
0.03625,0.426234337173,-0.138377918811,-0.287856418362
0.0365,0.422464165309,-0.109547856755,-0.312916308554
0.03675,0.416310232094,-0.079616459705,-0.336693772389
0.037,0.407766752237,-0.0487390673834,-0.359027684853
0.03725,0.396842132747,-0.0170796416723,-0.379762491075
0.0375,0.383559087222,0.0151903379974,-0.398749425219
0.03775,0.367954630064,0.0478930193839,-0.415847649447
0.038,0.350080345894,0.0808445632321,-0.430924909125
0.03825,0.330002283315,0.113856404611,-0.443858687925
0.0385,0.307800667253,0.146736612382,-0.454537279635
0.03875,0.283569691529,0.179290702092,-0.462860393619
0.039,0.257417326627,0.211322658599,-0.468739985225
0.03925,0.229464656297,0.242636542354,-0.47210119865
0.0395,0.199845323754,0.273037524742,-0.472882848495
0.03975,0.168705118246,0.302332799415,-0.47103791766
0.04,0.136201083674,0.330333177204,-0.466534260877
0.04025,0.102500815239,0.356854213617,-0.459355028855
0.0405,0.0677817944487,0.381717094958,-0.449498889405
0.04075,0.0322305531498,0.404749877855,-0.436980431003
0.041,-0.00395839061387,0.425788799766,-0.421830409151
0.04125,-0.0405834411971,0.444679191099,-0.404095749901
0.0415,-0.0774369673515,0.461276468602,-0.383839501249
0.04175,-0.1143067018,0.475447621774,-0.361140919973
0.042,-0.150976872938,0.487071900751,-0.336095027812
0.04225,-0.187229432033,0.49604169835,-0.308812266316
0.0425,-0.222845425763,0.502263644172,-0.279418218408
0.04275,-0.257606469278,0.505659317825,-0.248052848546
0.043,-0.291295824371,0.506165711487,-0.214869887115
0.04325,-0.323699929832,0.503736030158,-0.180036100325
0.0435,-0.354609708264,0.49834029767,-0.143730589405
0.04375,-0.383821776671,0.489965620306,-0.106143843634
0.044,-0.411139590927,0.478616588057,-0.0674769971285
0.04425,-0.43637489952,0.464315733459,-0.0279408339376
0.0445,-0.459348966389,0.447103578656,0.0122453877337
0.04475,-0.479893613614,0.427038579635,0.0528550339805
0.045,-0.497852770884,0.404197318403,0.0936554524824
0.04525,-0.513083399657,0.378674104573,0.134409295085
0.0455,-0.525456575334,0.350580551925,0.174876023409
0.04575,-0.534858494271,0.320045305802,0.21481318847
0.046,-0.541191510491,0.287213390818,0.253978119673
0.04625,-0.544374623382,0.252245340836,0.292129282547
0.0465,-0.544344446081,0.215316624165,0.329027821916
0.04675,-0.541055752529,0.176616764815,0.364438987714
0.047,-0.534482106666,0.136348513301,0.398133593366
0.04725,-0.524616133353,0.0947269471617,0.429889186191
0.0475,-0.51147029342,0.0519785314079,0.459491762011
0.04775,-0.495076833969,0.00833988143079,0.486736952539
0.048,-0.475488100063,-0.03594345586,0.511431555923
0.04825,-0.45277645537,-0.0806184123959,0.533394867766
0.0485,-0.427034124865,-0.125425831943,0.552459956808
0.04875,-0.398372629176,-0.170102184431,0.568474813605
0.049,-0.36692246576,-0.214381033314,0.581303499073
0.04925,-0.332832420579,-0.257994783335,0.590827203913
0.0495,-0.296268516092,-0.300676389242,0.596944905333
0.04975,-0.257413558705,-0.342160925627,0.599574484331
0.05,-0.216466047038,-0.382187211106,0.598653258144
0.05025,-0.173639601172,-0.42049927221,0.594138873381
0.0505,-0.129183289231,-0.456805795875,0.585989085104
0.05075,-0.0834736878463,-0.490623484514,0.574097172359
0.051,-0.0369120732678,-0.521519885763,0.55843195903
